iso3c,country,NABY_2016,NABY_2017,NABY_2018,NABY_2019,SPI.D1.2.NABY_2016,SPI.D1.2.NABY_2017,SPI.D1.2.NABY_2018,SPI.D1.2.NABY_2019
AFG,Afghanistan,2003,2003,2003,2003,0,0,0,0
ALB,Albania,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
DZA,Algeria,1980,1999,1999,Original chained constant price data are rescaled.,0,0,0,1
AGO,Angola,2002,2002,2002,2002,0,0,0,0
ATG,Antigua and Barbuda,2006,2006,2006,2006,0.5,0,0,0
ARG,Argentina,2004,2004,2004,2004,0,0,0,0
ARM,Armenia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
AUS,Australia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
AUT,Austria,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
AZE,Azerbaijan,2000,2000,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0,0,1,1
BHS,"Bahamas, The",2006,2006,2012,NA,0.5,0,0.5,NA
BHR,Bahrain,2010,2010,2010,NA,0.5,0.5,0.5,NA
BGD,Bangladesh,2006,2006,2006,2006,0.5,0,0,0
BRB,Barbados,1974,1974,1974,NA,0,0,0,NA
BLR,Belarus,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
BEL,Belgium,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
BLZ,Belize,2000,2000,2000,2000,0,0,0,0
BEN,Benin,2007,2007,2007,2007,0.5,0.5,0,0
BTN,Bhutan,2000,2000,2000,2000,0,0,0,0
BOL,Bolivia,1990,1990,1990,1990,0,0,0,0
BIH,Bosnia and Herzegovina,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
BWA,Botswana,2006,2006,2006,2006,0.5,0,0,0
BRA,Brazil,1995,1995,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0,0,1,1
BRN,Brunei Darussalam,2000,2010,2010,NA,0,0.5,0.5,NA
BGR,Bulgaria,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
BFA,Burkina Faso,1999,1999,1999,1999,0,0,0,0
BDI,Burundi,2005,2005,2005,2005,0,0,0,0
CPV,Cabo Verde,2007,2007,2007,2007,0.5,0.5,0,0
KHM,Cambodia,2000,2000,2000,2000,0,0,0,0
CMR,Cameroon,2000,2000,2005,2005,0,0,0,0
CAN,Canada,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
CAF,Central African Republic,1985,1985,2005,2005,0,0,0,0
TCD,Chad,2005,2005,2005,2005,0,0,0,0
CHL,Chile,2008,2013,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0.5,0.5,1,1
CHN,China,2000,2010,2015,2015,0,0.5,0.5,0.5
COL,Colombia,2005,2005,2005,2015,0,0,0,0.5
COM,Comoros,1990,1990,1990,2007,0,0,0,0
COD,"Congo, Dem. Rep.",2005,2005,2005,2005,0,0,0,0
COG,"Congo, Rep.",1990,1990,1990,1990,0,0,0,0
CRI,Costa Rica,1991,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,0,1,1,1
NA,Côte d'Ivoire,2009,2009,2009,2009,0.5,0.5,0.5,0.5
HRV,Croatia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
CYP,Cyprus,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
CZE,Czech Republic,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
DNK,Denmark,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
DJI,Djibouti,1990,1990,1990,2013,0,0,0,0.5
DMA,Dominica,2006,2006,2006,2006,0.5,0,0,0
DOM,Dominican Republic,2007,2007,2007,Original chained constant price data are rescaled.,0.5,0.5,0,1
ECU,Ecuador,2007,2007,2007,2007,0.5,0.5,0,0
EGY,"Egypt, Arab Rep.",2012,2012,2012,2017,0.5,0.5,0.5,0.5
SLV,El Salvador,1990,1990,2005,Original chained constant price data are rescaled.,0,0,0,1
GNQ,Equatorial Guinea,2006,2006,2006,2006,0.5,0,0,0
ERI,Eritrea,2000,2000,2000,2000,0,0,0,0
EST,Estonia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
SWZ,Eswatini,2011,2011,2011,2011,0.5,0.5,0.5,0.5
ETH,Ethiopia,2011,2011,2016,2016,0.5,0.5,0.5,0.5
FJI,Fiji,2005,2011,2011,2014,0,0.5,0.5,0.5
FIN,Finland,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
FRA,France,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
GAB,Gabon,2001,2001,2001,2001,0,0,0,0
GMB,"Gambia, The",2004,2004,2004,2013,0,0,0,0.5
GEO,Georgia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
DEU,Germany,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
GHA,Ghana,2006,2006,2006,2013,0.5,0,0,0.5
GRC,Greece,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
GRD,Grenada,2006,2006,2006,2006,0.5,0,0,0
GTM,Guatemala,2001,2001,2001,Original chained constant price data are rescaled.,0,0,0,1
GIN,Guinea,2003,2003,2003,2010,0,0,0,0.5
GNB,Guinea-Bissau,2005,2005,2005,2005,0,0,0,0
GUY,Guyana,2006,2006,2006,2006,0.5,0,0,0
HTI,Haiti,1987,1987,1987,1987,0,0,0,0
HND,Honduras,2000,2000,2000,2000,0,0,0,0
HUN,Hungary,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
ISL,Iceland,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
IND,India,2012,2012,2012,2011,0.5,0.5,0.5,0.5
IDN,Indonesia,2010,2010,2010,2010,0.5,0.5,0.5,0.5
IRN,"Iran, Islamic Rep.",2005,2005,2011,2011,0,0,0.5,0.5
IRQ,Iraq,2007,2007,2007,2007,0.5,0.5,0,0
IRL,Ireland,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
ISR,Israel,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
ITA,Italy,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
JAM,Jamaica,2007,2007,2007,2007,0.5,0.5,0,0
JPN,Japan,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
JOR,Jordan,1994,1994,1994,2016,0,0,0,0.5
KAZ,Kazakhstan,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
KEN,Kenya,2009,2009,2009,2009,0.5,0.5,0.5,0.5
KIR,Kiribati,2006,2006,2006,2006,0.5,0,0,0
KOR,"Korea, Rep.",2010,2010,2010,NA,0.5,0.5,0.5,NA
XKX,Kosovo,2008,2008,2008,2008,0.5,0.5,0.5,0
KWT,Kuwait,2010,2010,2010,NA,0.5,0.5,0.5,NA
KGZ,Kyrgyz Republic,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,1,1,1,1
LAO,Lao PDR,2002,2012,2012,2012,0,0.5,0.5,0.5
LVA,Latvia,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
LBN,Lebanon,1997,2010,2010,2010,0,0.5,0.5,0.5
LSO,Lesotho,2004,2012,2012,2012,0,0.5,0.5,0.5
LBR,Liberia,2000,2000,2000,1992,0,0,0,0
LBY,Libya,2003,2003,2003,2003,0,0,0,0
LTU,Lithuania,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
LUX,Luxembourg,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,Original chained constant price data are rescaled.,NA,1,1,1,NA
NA,"Macedonia, FYR",2005,2005,2005,Original chained constant price data are rescaled.,0,0,0,1
MDG,Madagascar,1984,1984,1984,1984,0,0,0,0
MWI,Malawi,2010,2010,2010,2010,0.5,0.5,0.5,0.5
MYS,Malaysia,2010,2010,2010,2010,0.5,0.5,0.5,0.5
MDV,Maldives,2003,2003,2014,2014,0,0,0.5,0.5
MLI,Mali,1999,1999,1999,1999,0,0,0,0
