iso3c,country,EMPL_2016,EMPL_2017,EMPL_2018,EMPL_2019,SPI.D1.6.EMPL_2016,SPI.D1.6.EMPL_2017,SPI.D1.6.EMPL_2018,SPI.D1.6.EMPL_2019
AFG,Afghanistan,na,NA,NA,NA,0,0,0,0
ALB,Albania,ISCO 88,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
DZA,Algeria,na,NA,NA,NA,0,0,0,0
AGO,Angola,na,NA,NA,NA,0,0,0,0
ATG,Antigua and Barbuda,na,NA,NA,NA,0,0,0,0
ARG,Argentina,na,NA,NA,NA,0,0,0,0
ARM,Armenia,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
AUS,Australia,ICSE-93,ICSE-93,ICSE-93,NA,1,1,1,NA
AUT,Austria,na,nace rev. 1,nace rev. 1,NA,0,0,0,NA
AZE,Azerbaijan,na,ICSE-93,ICSE-93,ICSE-93,0,1,1,1
BHS,"Bahamas, The",ISCO 88,ISCO-88,ISCO-88,NA,0,0,0,NA
BHR,Bahrain,ISOC 1988,ISCO-88,ISCO-88,NA,0,0,0,NA
BGD,Bangladesh,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
BRB,Barbados,na,CLFSS,CLFSS,NA,0,0,0,NA
BLR,Belarus,na,OKRB 005-2011,OKRB 005-2011,OKRB 005-2011,0,0,0,0
BEL,Belgium,na,ISCO,ISCO,NA,0,0,0,NA
BLZ,Belize,na,NA,NA,NA,0,0,0,0
BEN,Benin,na,NA,NA,NA,0,0,0,0
BTN,Bhutan,na,NA,NA,NA,0,0,0,0
BOL,Bolivia,na,NA,NA,NA,0,0,0,0
BIH,Bosnia and Herzegovina,na,ISCO-88,ISCO-88,ISCO-08,0,0,0,0
BWA,Botswana,ISCO-1988,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
BRA,Brazil,na,CBO Domiciliar,CBO Domiciliar,CBO Domiciliar,0,0,0,0
BRN,Brunei Darussalam,na,NA,NA,NA,0,0,0,NA
BGR,Bulgaria,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
BFA,Burkina Faso,na,NA,NA,NA,0,0,0,0
BDI,Burundi,na,NA,NA,NA,0,0,0,0
CPV,Cabo Verde,na,NA,NA,NA,0,0,0,0
KHM,Cambodia,na,NA,NA,NA,0,0,0,0
CMR,Cameroon,na,NA,NA,NA,0,0,0,0
CAN,Canada,NAICS,NAICS,NAICS,NA,1,1,1,NA
CAF,Central African Republic,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
TCD,Chad,na,NA,NA,NA,0,0,0,0
CHL,Chile,na,NA,NA,NA,0,0,0,0
CHN,China,na,NA,NA,NA,0,0,0,0
COL,Colombia,na,NA,NA,NA,0,0,0,0
COM,Comoros,na,NA,NA,NA,0,0,0,0
COD,"Congo, Dem. Rep.",na,NA,NA,NA,0,0,0,0
COG,"Congo, Rep.",na,NA,NA,NA,0,0,0,0
CRI,Costa Rica,ISCO 88,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
NA,Côte d'Ivoire,na,NA,NA,NA,0,0,0,0
HRV,Croatia,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
CYP,Cyprus,na,ISCO-08,ISCO-08,NA,0,0,0,NA
CZE,Czech Republic,NACE Rev2,NA,NA,NA,0,0,0,NA
DNK,Denmark,NACE Rev2/ ISCO 08,ISCO 08,ISCO 08,NA,0,0,0,NA
DJI,Djibouti,na,NA,NA,NA,0,0,0,0
DMA,Dominica,ISCO 88,ISCO 88,ISCO 88,ISCO 88,0,0,0,0
DOM,Dominican Republic,na,NA,NA,NA,0,0,0,0
ECU,Ecuador,na,ISCO,ISCO,ISCO,0,0,0,0
EGY,"Egypt, Arab Rep.",na,ISCO-98,ISCO-98,ISCO-98,0,0,0,0
SLV,El Salvador,na,NA,NA,NA,0,0,0,0
GNQ,Equatorial Guinea,0,NA,NA,NA,0,0,0,0
ERI,Eritrea,0,0,0,0,0,0,0,0
EST,Estonia,ICSE-93,ICSE-93,ICSE-93,NA,1,1,1,NA
SWZ,Eswatini,na,na,na,na,0,0,0,0
ETH,Ethiopia,na,NA,NA,NA,0,0,0,0
FJI,Fiji,na,NA,NA,NA,0,0,0,0
FIN,Finland,NACE Rev2/ ISCO 08,ISCO 08,ISCO 08,NA,0,0,0,NA
FRA,France,NAF,NAF,NAF,NA,0,0,0,NA
GAB,Gabon,na,NA,NA,NA,0,0,0,0
GMB,"Gambia, The",na,NA,NA,NA,0,0,0,0
GEO,Georgia,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
DEU,Germany,NACE Rev2,ISCO-08,ISCO-08,NA,0,0,0,NA
GHA,Ghana,na,NA,NA,NA,0,0,0,0
GRC,Greece,0,ISCO-08,ISCO-08,NA,0,0,0,NA
GRD,Grenada,na,NA,NA,NA,0,0,0,0
GTM,Guatemala,na,NA,NA,NA,0,0,0,0
GIN,Guinea,na,NA,NA,NA,0,0,0,0
GNB,Guinea-Bissau,na,NA,NA,NA,0,0,0,0
GUY,Guyana,na,NA,NA,NA,0,0,0,0
HTI,Haiti,na,NA,NA,NA,0,0,0,0
HND,Honduras,na,NA,NA,NA,0,0,0,0
HUN,Hungary,ICSE-93,ICSE-93,ICSE-93,NA,1,1,1,NA
ISL,Iceland,ICSE-93,ICSE-93,ICSE-93,NA,1,1,1,NA
IND,India,na,NSS,NSS,NSS,0,0,0,0
IDN,Indonesia,na,ASCO,ASCO,ASCO,0,0,0,0
IRN,"Iran, Islamic Rep.",na,NA,NA,NA,0,0,0,0
IRQ,Iraq,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
IRL,Ireland,na,ISCO-88,ISCO-88,NA,0,0,0,NA
ISR,Israel,na,ISCO-88,ISCO-88,NA,0,0,0,NA
ITA,Italy,NACE Rev2/ ISCO 08,ISCO-08,ISCO-08,NA,0,0,0,NA
JAM,Jamaica,na,ICLS-13/ISCO-08,ICLS-13/ISCO-08,ICLS-13/ISCO-08,0,0,0,0
JPN,Japan,JSIC,OCPCJ,OCPCJ,NA,0,0,0,NA
JOR,Jordan,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
KAZ,Kazakhstan,na,NA,NA,NA,0,0,0,0
KEN,Kenya,na,NA,NA,NA,0,0,0,0
KIR,Kiribati,na,NA,NA,NA,0,0,0,0
KOR,"Korea, Rep.",na,ISCO-08/NA,ISCO-08/NA,NA,0,0,0,NA
XKX,Kosovo,na,NA,NA,NA,0,0,0,0
KWT,Kuwait,na,NA,NA,NA,0,0,0,NA
KGZ,Kyrgyz Republic,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
LAO,Lao PDR,na,na,na,na,0,0,0,0
LVA,Latvia,ICSE-93,ICSE-93,ICSE-93,NA,1,1,1,NA
LBN,Lebanon,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
LSO,Lesotho,na,ISCO-88,ISCO-88,ISCO-88,0,0,0,0
LBR,Liberia,na,NA,NA,NA,0,0,0,0
LBY,Libya,na,NA,NA,NA,0,0,0,0
LTU,Lithuania,ICSE-93,ICSE-93,ICSE-93,NA,1,1,1,NA
LUX,Luxembourg,na,NA,NA,NA,0,0,0,NA
NA,"Macedonia, FYR",na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
MDG,Madagascar,na,NA,NA,NA,0,0,0,0
MWI,Malawi,na,NA,NA,NA,0,0,0,0
MYS,Malaysia,na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
MDV,Maldives,na,NA,NA,NA,0,0,0,0
MLI,Mali,na,NA,NA,NA,0,0,0,0
MLT,Malta,na,ISCO-08,ISCO-08,NA,0,0,0,NA
MHL,Marshall Islands,0,NA,NA,NA,0,0,0,0
MRT,Mauritania,na,NA,NA,NA,0,0,0,0
MUS,Mauritius,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
MEX,Mexico,na,NAICS,NAICS,NAICS,0,1,1,1
FSM,"Micronesia, Fed. Sts.",na,NA,NA,NA,0,0,0,0
MDA,Moldova,ICSE-93,ICSE-93,ICSE-93,ICSE-93,1,1,1,1
MNG,Mongolia,na,ICSE-93,ICSE-93,ICSE-93,0,1,1,1
MNE,Montenegro,na,ISCO-08,ISCO-08,ISCO-08,0,0,0,0
MAR,Morocco,0,ICSE-93,ICSE-93,ICSE-93,0,1,1,1
MOZ,Mozambique,na,NA,NA,NA,0,0,0,0
