iso3c,country,BIZZ.CENSUS_2016,BIZZ.CENSUS_2017,BIZZ.CENSUS_2018,BIZZ.CENSUS_2019,SPI.D2.3.BIZZ_2016,SPI.D2.3.BIZZ_2017,SPI.D2.3.BIZZ_2018,SPI.D2.3.BIZZ_2019
AFG,Afghanistan,NA,NA,NA,NA,0,0,0,0
ALB,Albania,NA,NA,NA,NA,0,0,0,0
DZA,Algeria,2010,2010,2010,2010,1,1,1,1
AGO,Angola,"2002, 2011","2002, 2011","2002, 2011","2002, 2011",1,1,1,1
ATG,Antigua and Barbuda,NA,NA,NA,NA,0,0,0,0
ARG,Argentina,NA,NA,NA,NA,0,0,0,0
ARM,Armenia,NA,NA,NA,NA,0,0,0,0
AZE,Azerbaijan,NA,NA,NA,NA,0,0,0,0
BGD,Bangladesh,NA,NA,NA,NA,0,0,0,0
BLR,Belarus,NA,NA,NA,NA,0,0,0,0
BLZ,Belize,NA,NA,NA,NA,0,0,0,0
BEN,Benin,2008,2008,2008,2008,1,1,1,0
BTN,Bhutan,NA,NA,NA,NA,0,0,0,0
BOL,Bolivia,NA,NA,NA,NA,0,0,0,0
BIH,Bosnia and Herzegovina,NA,NA,NA,NA,0,0,0,0
BWA,Botswana,NA,NA,NA,NA,0,0,0,0
BRA,Brazil,NA,NA,NA,NA,0,0,0,0
BGR,Bulgaria,NA,NA,NA,NA,0,0,0,0
BFA,Burkina Faso,NA,NA,NA,NA,0,0,0,0
BDI,Burundi,NA,NA,NA,NA,0,0,0,0
CPV,Cabo Verde,NA,NA,NA,NA,0,0,0,0
KHM,Cambodia,2011,2011,2011,2011,1,1,1,1
CMR,Cameroon,NA,NA,NA,NA,0,0,0,0
CAF,Central African Republic,NA,NA,NA,NA,0,0,0,0
TCD,Chad,NA,NA,NA,NA,0,0,0,0
CHL,Chile,NA,NA,NA,NA,0,0,0,0
CHN,China,NA,NA,NA,NA,0,0,0,0
COL,Colombia,NA,NA,NA,NA,0,0,0,0
COM,Comoros,NA,NA,NA,NA,0,0,0,0
COD,"Congo, Dem. Rep.",NA,NA,NA,NA,0,0,0,0
COG,"Congo, Rep.",NA,NA,NA,NA,0,0,0,0
CRI,Costa Rica,NA,NA,NA,NA,0,0,0,0
CIV,Cote d'Ivoire,NA,NA,NA,NA,0,0,0,0
HRV,Croatia,NA,NA,NA,NA,0,0,0,0
DJI,Djibouti,NA,NA,NA,NA,0,0,0,0
DMA,Dominica,NA,NA,NA,NA,0,0,0,0
DOM,Dominican Republic,NA,NA,NA,NA,0,0,0,0
ECU,Ecuador,2010,2010,2010,2010,1,1,1,1
EGY,"Egypt, Arab Rep.",NA,NA,NA,NA,0,0,0,0
SLV,El Salvador,NA,NA,NA,NA,0,0,0,0
GNQ,Equatorial Guinea,NA,NA,NA,NA,0,0,0,0
